depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,-0.2125,0.0009,-0.2142,-0.2108,-0.3802,0.0033,-0.3862,-0.3731,-0.1005,0.0021,-0.1045,-0.0965,-0.236,0.0002,-0.2361,-0.2356,0.5285,0.0044,0.5188,0.5361,0.4003,0.0075,0.3845,0.4141,-6.6685,0.2218,-7.3322,-6.4087,-5.197,0.2852,-6.0225,-4.9918
2.0,-0.7578,0.0077,-0.7662,-0.7345,-1.2042,0.0053,-1.2124,-1.1928,-0.5382,0.0094,-0.5535,-0.5159,-0.8837,0.0014,-0.8849,-0.88,0.3716,0.0169,0.3382,0.4034,0.1876,0.0164,0.1607,0.219,-5.9371,0.2802,-6.7036,-5.664,-4.4532,0.2754,-5.2782,-4.1722
3.0,-1.2801,0.0171,-1.3092,-1.2383,-1.811,0.0077,-1.8223,-1.7916,-1.0286,0.0166,-1.0587,-0.9894,-1.4947,0.0066,-1.5017,-1.4786,0.0728,0.0328,0.0142,0.1354,-0.3383,0.0336,-0.3808,-0.2657,-5.135,0.3126,-5.9553,-4.6148,-3.7932,0.2838,-4.607,-3.5759
4.0,-1.7405,0.0339,-1.8071,-1.6756,-2.3087,0.0579,-2.4525,-2.2352,-1.5054,0.0312,-1.5595,-1.4431,-1.9823,0.0522,-2.0999,-1.9145,-0.2842,0.0557,-0.3823,-0.1763,-0.8148,0.0793,-0.9863,-0.6774,-4.3726,0.3113,-5.1989,-4.0177,-3.1306,0.2857,-3.9407,-2.8513
5.0,-2.0932,0.0482,-2.1936,-2.0113,-2.4819,0.0765,-2.66,-2.3582,-1.8797,0.0482,-1.9644,-1.7903,-2.1173,0.0752,-2.3002,-2.003,-0.6987,0.0811,-0.8863,-0.5583,-0.8346,0.1019,-1.0733,-0.6872,-3.623,0.3121,-4.4351,-3.3216,-2.4608,0.2822,-3.2532,-2.2311
6.0,-2.3264,0.059,-2.4579,-2.2325,-2.4646,0.0809,-2.6532,-2.3452,-2.0914,0.0653,-2.2212,-1.9766,-2.0999,0.0777,-2.2766,-1.9963,-0.9549,0.1141,-1.1462,-0.7067,-0.8262,0.1,-1.0632,-0.6873,-2.8726,0.3106,-3.6863,-2.5806,-1.7836,0.2818,-2.5834,-1.567
7.0,-2.4605,0.0664,-2.6145,-2.3457,-2.4484,0.0793,-2.6149,-2.3241,-2.176,0.0751,-2.3212,-2.0434,-2.0881,0.0776,-2.2833,-1.9797,-0.9574,0.1246,-1.1629,-0.6862,-0.8197,0.1091,-1.0606,-0.6564,-2.1185,0.3071,-2.9249,-1.824,-1.0955,0.281,-1.8818,-0.8904
8.0,-2.5331,0.0723,-2.7016,-2.4108,-2.4421,0.0774,-2.6147,-2.3171,-2.2036,0.0808,-2.3636,-2.0538,-2.0852,0.0766,-2.28,-1.9757,-0.9499,0.1798,-1.1626,-0.6554,-0.8196,0.1117,-1.0591,-0.6483,-1.3403,0.2988,-2.1375,-1.0614,-0.3992,0.2825,-1.1914,-0.1892
9.0,-2.5679,0.0759,-2.746,-2.433,-2.4386,0.0772,-2.6112,-2.315,-2.2115,0.0817,-2.376,-2.0652,-2.0843,0.0762,-2.2783,-1.9745,-0.9412,0.1889,-1.1625,-0.6394,-0.8122,0.1186,-1.059,-0.6142,-0.5217,0.294,-1.3137,-0.2625,0.3072,0.281,-0.477,0.5087
10.0,-2.5816,0.0769,-2.7526,-2.448,-2.4349,0.077,-2.6084,-2.3111,-2.2136,0.082,-2.376,-2.067,-2.0836,0.0763,-2.2776,-1.9584,-0.9384,0.2038,-1.1625,-0.5137,-0.8062,0.1302,-1.0589,-0.5529,0.3638,0.2855,-0.4311,0.5987,1.0292,0.2807,0.2393,1.2317
11.0,-2.5821,0.077,-2.7534,-2.4473,-2.4311,0.0768,-2.6054,-2.3066,-2.2139,0.0818,-2.3758,-2.0671,-2.0829,0.0764,-2.2769,-1.9478,-0.9284,0.2187,-1.1578,-0.448,-0.7956,0.1664,-1.0589,-0.372,1.347,0.2753,0.5608,1.553,1.7786,0.2797,0.985,1.9785
