method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-1.9722377959020119,-0.26117086723407246,2.087033655359135,-0.5640078109777841,-2.3280064010808563,-0.564152656626851,1.8436191974232914,-0.30646382449468346,-3.0715371772412126,-1.3052151646143826,1.2420103115034309,0.6408004310163595
KDE_cv,-1.949657649544064,-0.2181895710473403,2.171441408276074,0.18736255055350068,-2.271991005582571,-0.503328831142949,1.9534729080153113,0.9631426903775588,-2.961234010442254,-1.227138453854763,1.263636129806097,3.7694987140064766
DPM,-1.9898721327690876,-0.27962446694439413,2.0076480956579745,1.4750699906535023,-2.427811142504037,-0.6862033566833485,1.6032133851456916,1.726516818491399,-2.9067022917574343,-1.1249675879984369,1.1639300522527805,3.6412740221631186
DRBART,-1.4222993083692874,0.23859950597205132,2.406477123362262,7.529025469499621,-1.7268712992875233,-0.0536904327309491,2.1413994089233808,7.730167596226445,-1.8565583200365994,-0.19356694544679015,1.9383421766278022,8.640977011816847
