method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-2.537305913667698,-0.8183495343431939,1.5137532254927104,-0.7365757146111029,-2.8365552472080555,-1.098035535138173,1.296312666394747,-0.4761846971455994,-3.42558221302411,-1.6810893174324024,0.7590450964281614,0.4340258229202154
KDE_cv,-2.4823517235283457,-0.7722947330252404,1.5424990198347777,-0.06305134264097262,-2.777390915243669,-1.0484065403706162,1.3244470659037686,0.814772675290978,-3.3709916312792383,-1.639206294428523,0.7638318523235859,3.5991185796070893
DPM,-2.6446590647947312,-0.9509042450724057,1.2962547749054858,0.4290910230610487,-3.0119451950930745,-1.3137411001746093,0.9433090389862552,0.7080847720256176,-3.353314470157156,-1.6519023454662112,0.6266839476478352,2.767210904575409
DRBART,-2.324273854413304,-0.6451762226042641,1.5297344224247846,7.300126399112478,-2.547342525444561,-0.8674357820911883,1.319724526130726,7.544798501930522,-2.9310273227846984,-1.231281955729783,0.9618594572236406,8.40326723893877
