method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-3.1195439659664923,-1.4041068599598747,0.863927389167771,-1.1300218722369024,-3.3828948191567596,-1.644963328889905,0.6679588023977381,-0.8612401014687907,-3.864100920942239,-2.1700673859446127,0.16665797663082865,0.10453078942806328
KDE_cv,-3.2461933492834243,-1.5307473988978806,0.7989391367294243,-0.3575094954408529,-3.3777152104875574,-1.6906725772381965,0.5195921062364908,0.6204332940624596,-3.855489704749656,-2.1482402024056158,0.08292141940920919,3.330026379740616
DPM,-3.3830782246735516,-1.7190190903557625,0.4458384691349649,-0.7413029568235686,-3.714335588464523,-2.035168805308604,0.1484459569011548,-0.264563410933606,-3.8778774853481592,-2.2611693524230945,-0.0728179487227069,1.720678121279098
DRBART,-3.343140855976737,-1.7762814417509023,0.3779290332200326,6.943747165541781,-3.4227872346198187,-1.7736971788235067,0.4790964369329159,7.192198781170684,-3.9871113853340563,-2.4040719973339155,-0.28805161437718585,8.0347108580555
