100_L1P,100_L1F,100_L2P,100_L2F,100_LIP,100_LIF,100_TP,100_TF,200_L1P,200_L1F,200_L2P,200_L2F,200_LIP,200_LIF,200_TP,200_TF,500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,2000_L1P,2000_L1F,2000_L2P,2000_L2F,2000_LIP,2000_LIF,2000_TP,2000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,10000_L1P,10000_L1F,10000_L2P,10000_L2F,10000_LIP,10000_LIF,10000_TP,10000_TF,20000_L1P,20000_L1F,20000_L2P,20000_L2F,20000_LIP,20000_LIF,20000_TP,20000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.13421111,0.06266371,0.39490326,0.3344033,1.62696956,1.48649265,-7.06797506,-7.16075396,0.13162379,0.05830399,0.39388827,0.32792531,1.62829579,1.48409215,-7.07002847,-7.38701051,0.12915216,0.0549795,0.38961653,0.32695704,1.62211725,1.47598389,-7.16509553,-7.4687452,0.12703403,0.05459333,0.38595383,0.32609456,1.61394317,1.47588638,-6.99792678,-7.18535405,0.12549618,0.05324517,0.38310589,0.32569737,1.6051648,1.47160463,-6.53506062,-7.2455818,0.12461098,0.05262886,0.38153826,0.32539962,1.59887645,1.47084447,-5.88527442,-6.8021629,0.12430322,0.05186342,0.38078732,0.32529103,1.59554082,1.46892393,-5.25683919,-6.37518366,0.12401532,0.05179579,0.38008914,0.32524894,1.59238078,1.46867711,-4.28306328,-5.4021462,0.12389157,0.05146849,0.38005999,0.32521699,1.59207312,1.46797765,-3.3136491,-4.44030081
0.02933773,-0.17424573,0.34239306,0.1650165,1.59190915,1.30558555,-5.95864404,-6.45314076,0.01720651,-0.19985537,0.32380796,0.14644184,1.59366729,1.27150246,-5.91101689,-6.48346016,0.01522251,-0.21929206,0.31179377,0.13775893,1.59261669,1.2439854,-5.85047621,-6.31743778,0.01055298,-0.22329788,0.30058875,0.13486585,1.589107,1.23321285,-5.71190737,-6.29507812,0.00934425,-0.22964113,0.29856467,0.13339427,1.58832646,1.22026101,-5.38691656,-6.308832,0.007847,-0.23231016,0.29360706,0.13267994,1.58440291,1.21505963,-4.78000438,-5.99537392,0.00740368,-0.23437345,0.28839086,0.13229203,1.53057137,1.20928524,-4.33444418,-5.60692061,0.00717295,-0.23629481,0.28752129,0.13218948,1.52487742,1.20676993,-3.86737011,-5.01851111,0.0068428,-0.23708337,0.28672915,0.13208369,1.52380081,1.20527071,-2.81237104,-4.26991342
-0.05583635,-0.27126758,0.28988911,0.09795964,1.75746804,1.45014886,-4.79401231,-5.32358453,-0.10046807,-0.33590249,0.22639672,0.0618728,1.64946727,1.4266223,-4.86188514,-5.304156,-0.14599399,-0.38891729,0.19061345,0.03041303,1.57190703,1.39373769,-4.78565801,-5.22961234,-0.15785335,-0.40111927,0.17519275,0.02358968,1.54609616,1.37802199,-4.63020714,-5.33249398,-0.16321277,-0.40865255,0.16580591,0.02095488,1.53092268,1.35969036,-4.47262377,-5.20779603,-0.16894474,-0.4133776,0.15609182,0.01908409,1.51474913,1.34639099,-4.0593977,-5.06630343,-0.17091854,-0.41539122,0.15191777,0.01835932,1.50850762,1.33778538,-3.57595717,-4.91182265,-0.17162573,-0.41761939,0.1514291,0.01802975,1.50201238,1.33400372,-2.92758919,-4.46227102,-0.17226153,-0.4186812,0.14969758,0.01782639,1.49614495,1.32844742,-1.93181979,-3.98161279
-0.09221257,-0.35347307,0.25714297,0.01865138,1.93868696,1.45975167,-3.47803239,-4.31860022,-0.22656305,-0.53184421,0.12773601,-0.11392058,1.65281844,1.34995677,-3.48555056,-4.23005475,-0.34415311,-0.69185639,0.00823443,-0.23613159,1.46189941,1.31741118,-3.54541909,-4.25920953,-0.39960894,-0.73642435,-0.05467929,-0.26212522,1.35902776,1.31701764,-3.477586,-4.21641368,-0.42574079,-0.76155913,-0.07401717,-0.27501363,1.31703915,1.28371865,-3.17263898,-4.0944446,-0.44189554,-0.77270705,-0.08902838,-0.28389178,1.28069476,1.27750304,-2.91575379,-3.9825088,-0.45249554,-0.78246944,-0.09968698,-0.29179861,1.26754098,1.26374571,-2.48795048,-3.98834243,-0.45705376,-0.78720435,-0.10304383,-0.29380944,1.25083571,1.25373751,-1.92310293,-3.61593112,-0.46142583,-0.78940884,-0.10666591,-0.2946003,1.23410914,1.24436598,-0.89726,-3.23190039
-0.09605636,-0.36632028,0.25169916,-0.01243058,1.91288165,1.40827204,-2.07973193,-2.72591654,-0.25565544,-0.60160894,0.09865384,-0.19026817,1.72344461,1.38228208,-1.9957281,-2.83732485,-0.48816033,-0.85822636,-0.13158928,-0.42314008,1.48505876,1.34118066,-2.24415933,-3.06393988,-0.62769336,-1.00138842,-0.27129248,-0.51163469,1.31435249,1.2875862,-2.16222664,-2.97720383,-0.70122534,-1.06967778,-0.35521799,-0.55658262,1.21454881,1.29018034,-1.91495835,-2.92249369,-0.75403427,-1.12200034,-0.39771737,-0.59168675,1.14436109,1.23883117,-1.64723759,-2.83358968,-0.77777652,-1.14042907,-0.41569275,-0.59822966,1.1200757,1.22883145,-1.42635786,-2.83729193,-0.78983874,-1.15195649,-0.42538703,-0.60209368,1.09347859,1.21604921,-0.93005268,-2.47361877,-0.80140225,-1.15793187,-0.43274942,-0.61269598,1.07623317,1.1481894,0.05205799,-1.97709347
,,,,,,,,-0.25973359,-0.615215,0.09940961,-0.21401946,1.75198919,1.39121217,-0.77162928,-1.75056725,-0.53574729,-0.9099976,-0.16311141,-0.47878148,1.59428981,1.24234073,-0.83230463,-1.64025939,-0.75113057,-1.12243251,-0.38567602,-0.66919417,1.41215274,1.10677783,-0.77922848,-1.73036222,-0.92855529,-1.27850622,-0.58366041,-0.80193208,1.09930582,1.06037379,-0.67692556,-1.59844353,-1.04711465,-1.41920115,-0.69868934,-0.90584245,0.98495796,0.95597225,-0.45234494,-1.45664811,-1.09680008,-1.49925218,-0.74050539,-0.95379708,0.91810416,0.92823688,-0.21277284,-1.63669221,-1.12892424,-1.55244407,-0.76879327,-0.98520521,0.91087191,0.90045141,0.27134681,-1.35058524,-1.15805464,-1.57557989,-0.78788873,-0.99642088,0.88595161,0.85624316,1.42410304,-1.01519887
,,,,,,,,,,,,,,,,-0.54204485,-0.91857209,-0.1667948,-0.49304899,1.63216745,1.21207166,0.53960011,-0.48514206,-0.77283112,-1.14290158,-0.40610328,-0.69852661,1.45639127,1.0822466,0.57035096,-0.45457217,-1.04036447,-1.33389236,-0.67794606,-0.86755045,1.17639716,1.0265914,0.71569784,-0.32511171,-1.27286324,-1.56221579,-0.91701616,-1.05569889,0.99238757,0.8761887,0.95358404,-0.33646714,-1.36929449,-1.71795452,-1.02280699,-1.19896197,0.78397589,0.71640293,1.17478598,-0.32541016,-1.43404987,-1.82940548,-1.08268993,-1.27994921,0.69843657,0.67019643,1.50170817,-0.24019543,-1.49603344,-1.89024799,-1.13892541,-1.32232578,0.670098,0.58545758,2.38152679,0.24551814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.05991275,-1.34553651,-0.69313387,-0.8740251,1.19786575,1.01903496,2.1410016,1.06642882,-1.37578301,-1.6034542,-0.99816364,-1.10246931,1.02952133,0.90309608,2.3201164,1.00184225,-1.55863763,-1.82090944,-1.19112373,-1.30846073,0.90676741,0.6983499,2.54858494,1.0471113,-1.6738617,-2.00609919,-1.31077044,-1.47922352,0.71695842,0.54291414,2.89340652,1.19416931,-1.78209746,-2.17196834,-1.42384027,-1.61266269,0.43302345,0.40589965,3.81584424,1.53791265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.39652008,-1.61193529,-1.00935392,-1.10864295,1.08477657,0.90560358,4.40712341,2.42116868,-1.63564624,-1.8419764,-1.24952124,-1.32882343,0.9015973,0.69930552,4.40671532,2.43765188,-1.81741852,-2.05429227,-1.42681517,-1.52763407,0.84336044,0.51303721,4.67725166,2.53381271,-1.98663345,-2.28881732,-1.60307161,-1.73672873,0.67726956,0.32974537,5.04264624,2.84838474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65009331,-1.84384648,-1.25908738,-1.3322088,0.87860615,0.70034758,5.87346707,3.82252737,-1.86895648,-2.06181844,-1.45632049,-1.53293217,0.85889271,0.55035628,6.23006074,4.02005475,-2.11040039,-2.31567617,-1.67974292,-1.76448008,0.72216919,0.35170267,6.47536161,4.08030531
