500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF
-0.2829588867585906,-0.049825295194592494,0.059760322718185474,0.5099234690909821,1.4609435077848332,1.9464145704297775,-6.936958782278393,-7.603353379662991,-0.2842793321500298,-0.05048491533826367,0.058111261036469936,0.5099208676291938,1.4609865522311571,1.9464536852338383,-7.057273091095361,-7.12213469088279,-0.28506328308338685,-0.050986582611157384,0.05753866720365634,0.5099197404449293,1.4626665602170492,1.9464707251519904,-6.818748673824109,-5.6892454218522195
-0.8332868087947878,-0.6128035910140385,-0.4977199665459582,0.1398382409252042,0.8553970005489306,1.667146920241253,-6.368213575823343,-6.823714892553608,-0.8545998243355168,-0.6159230849925048,-0.52239173076393,0.1395951107653328,0.8503467205116602,1.6674553315877807,-6.473383744007981,-6.326417950385524,-0.8780335751517336,-0.6186741076653258,-0.5515567674493798,0.13944378351079628,0.8460293716924835,1.6676757230530475,-6.394473037038527,-4.892526136230572
-1.2654070446148005,-1.2469501049641152,-0.8731134819326931,-0.43205797386450734,0.6353853428997062,1.2246292897424538,-5.690097073498613,-6.147699893878558,-1.326904124278019,-1.2627349877710063,-0.9653483908834892,-0.43614187536014554,0.46693157282128345,1.2227591666389954,-5.715756201829668,-5.597520877576114,-1.4397561802328809,-1.2757038202406796,-1.118694918581371,-0.4395592906743083,0.23734832875423606,1.2262112442348736,-5.6994415029465015,-4.190592135112694
-1.5518165492558824,-1.7780328307041842,-1.029095064171078,-1.0020629838882573,0.6453417291257488,0.7407794479326174,-4.916422545884768,-5.336731186199135,-1.6597620816539216,-1.863871213153586,-1.182976780394785,-1.0538276469879349,0.48281308293341474,0.7129020085055948,-4.934049487610091,-4.928710828541889,-1.8819325612089808,-1.9413501828121036,-1.5073210710034386,-1.0928978301287535,0.08233282196608897,0.6733771294020232,-4.967453296186151,-3.4983789460450407
-1.7340379481597517,-1.9037847973175974,-1.0830959656694779,-1.165959945609508,0.6501948161106941,0.5781562843543768,-4.212924099487506,-4.754250556301608,-1.864835463487195,-2.0997112981986477,-1.2551630949407566,-1.3251307908653467,0.4906054282789855,0.4523085314890276,-4.270113458342585,-4.239309052369399,-2.181649649910164,-2.48552960676378,-1.678896241412201,-1.6822411512513216,0.09317774221940994,0.16125152701279288,-4.327553226431091,-2.815424711797542
-1.8315495005650484,-1.8565045692568884,-1.098065102823533,-1.1229158786377194,0.6452838748395638,0.6106887984853376,-3.460682804263978,-4.030235752440173,-1.9840882800082509,-2.060978796148412,-1.2735779789071053,-1.2960302532930543,0.5016452106936561,0.469888147055864,-3.526539891470498,-3.5369610263762414,-2.360927591868574,-2.5955792423820707,-1.7314219309621712,-1.8190087423270538,0.09389630261792359,0.030527535475375185,-3.5909380530848707,-2.1323779428087315
-1.871366277975237,-1.8350592783592965,-1.1005430249636718,-1.1060903339120418,0.6443369622866594,0.6311464972900095,-2.7199897567944085,-3.3626451777590654,-2.0455057600402373,-2.039769319649671,-1.27875939596303,-1.2761594876267808,0.505500425576539,0.49416060862927674,-2.776102043252562,-2.8606810583255085,-2.4597997026986165,-2.5495713495845562,-1.7459721312627536,-1.7745282271058747,0.09674170882868158,0.06830673578814332,-2.8571624494197687,-1.4508088455384824
-1.8808279190468413,-1.8220237871557114,-1.1012134003515723,-1.1016261088052284,0.6442651929967537,0.637965358560218,-1.9941739614858673,-2.6515090195032958,-2.0713975768348485,-2.02965284529048,-1.2806165288899498,-1.2719999835917764,0.5027319425926378,0.49492661195526333,-1.9928720318150144,-2.1472527216579436,-2.5119515802820036,-2.5371802315711327,-1.7495332425489594,-1.7649412173494852,0.09272424308096693,0.07945509923980143,-2.059277399551615,-0.7554980176609518
,,,,,,,,,,,,,,,,-2.538132650274715,-2.5325361374652875,-1.750415278940079,-1.764174596130492,0.09680939182238908,0.07578224508856453,-1.2265192391069037,-0.05951945912013506
,,,,,,,,,,,,,,,,-2.549744088424136,-2.5287918620083865,-1.7507001803494437,-1.7640817815369436,0.09647738405195774,0.07530892643123849,-0.30865453971463763,0.6561793627963033
