500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF
0.014207517763399872,0.0007715470783383913,0.028207075061284035,6.130267650857994e-06,0.04208770545436546,0.0005588398676430208,0.23314675844819063,0.2197479278970578,0.010595513173615267,0.00036078462179552675,0.02140077166047443,1.7285364835046963e-06,0.031173162374549177,0.0003406395905850012,0.17447623664129308,0.2327854709590319,0.004307062602331898,0.0001263321596098214,0.00886890965605693,3.1004589177327456e-07,0.01306219211851086,0.0001532216097768003,0.11189299361187308,0.15118246972050875
0.03658400475397679,0.002662897713214575,0.05594015275053812,0.0005652085177482868,0.07712781812748418,0.008953320068902808,0.22278927085022374,0.23387751302118232,0.029876396108633775,0.0013149968204775717,0.0466907322859583,0.00024972213906286725,0.05748044810815491,0.005956118476760856,0.23161163163857879,0.25245528771172865,0.007840090540291273,0.00045820298227236837,0.015632043897695496,5.3048989468159626e-05,0.024434700485009522,0.0028043266881255455,0.13821566001430421,0.14752607804980924
0.06781502476969449,0.013726401531500707,0.10225704968400419,0.00916241736034307,0.1990487556274517,0.04657984039274838,0.22190550209497184,0.21837866993541916,0.06310479745275734,0.00605226309242332,0.09679748929212506,0.005051034810485919,0.1921435771739551,0.034825210353734426,0.25482784021046606,0.23416446552129017,0.022363943211297425,0.0017488064480480198,0.031566426184685255,0.000971987362354387,0.04350743133931646,0.014741553835844103,0.165361042425737,0.1389752986822459
0.09651133316221257,0.07129008507555923,0.14733128234305098,0.07323684761127885,0.23314901586856251,0.10356751650859468,0.22464144559782462,0.2118836431263367,0.08557040160524573,0.03461250067397299,0.1364864626319693,0.03234545726368984,0.21281971444416414,0.07957371278795201,0.24868414127746377,0.22821285224002202,0.04486569694606034,0.00821000304355155,0.06584203914359844,0.007315418301957826,0.14608977728288763,0.05005091681582412,0.13860264569667333,0.14013979062890233
0.11394260639126214,0.13652279032143064,0.15868418753354024,0.15398248014424085,0.2257158697147316,0.18077795815300082,0.22229575543977642,0.20991307403114215,0.10453642836562937,0.10439094836475887,0.15601159235520368,0.13104640730040723,0.2188566933216396,0.18578615087695782,0.2509157815769653,0.22879456622032793,0.061086266726440165,0.048301106192296224,0.08929185490264284,0.05190499022760748,0.13736204872385474,0.10339558010938014,0.140785371704842,0.13806939698411072
0.12158092104628639,0.14010751326109708,0.15964478375751445,0.1687298371112754,0.215645174049461,0.2067682548588585,0.20408332028015855,0.1941571103036526,0.11657539690979676,0.11631535315068474,0.16097391350705256,0.14943184875433205,0.23150410988352849,0.21229645389614488,0.25356792538100603,0.23011912490115177,0.07333691888052672,0.0915706423774281,0.09971163874769631,0.1011309948204553,0.14301203600905224,0.1483477071075697,0.14323951753285527,0.1335547680707195
0.124827248802345,0.13508413787334123,0.15976493767473174,0.16026512345372967,0.21576429489641022,0.1965960553576641,0.2189485041953819,0.18730056371728604,0.12503759933104797,0.11242777302406713,0.16234316912319344,0.14559380510095637,0.23097120646161265,0.202609331137103,0.26764749513144226,0.236114019030133,0.08203614269321552,0.09140713245753451,0.10321325420012038,0.10283803301504806,0.14872160303465923,0.14468476950762127,0.15100636520130062,0.1392763749015535
0.12570342350567748,0.1342821214922562,0.15998531128980406,0.16380043279616707,0.21558345257013045,0.22062098025173846,0.2512124067146771,0.23076334783793312,0.12752005693032026,0.10957376098804159,0.16259105213204497,0.1416513955593248,0.22567097569626798,0.1994317106074493,0.24724107003298212,0.24371976993189823,0.08432141087622043,0.08769233401233205,0.10373207482519013,0.10033439111179991,0.14133568922090553,0.14887362216252667,0.14393548528553735,0.13387757914661375
,,,,,,,,,,,,,,,,0.086339417622321,0.0867877746876803,0.10406786866217911,0.09930506742117526,0.15357082407447337,0.1449761140574373,0.13605436407616642,0.12078350926391773
,,,,,,,,,,,,,,,,0.08757375048596143,0.08675415529049178,0.10401007685726395,0.09949679947256701,0.1516373987277849,0.1448510652890896,0.1235692011749137,0.10847109420477152
