500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF
-0.30578023711747265,-0.05044527425736249,0.009987223212821356,0.5099208437929812,1.3662903890385005,1.9459101490553132,-7.343016353044967,-8.207414980809403,-0.29981140025393266,-0.05093507379027382,0.02498539148558365,0.5099198216219846,1.4055886624950389,1.9459101490553132,-7.475801766723703,-7.691478988272218,-0.293082321127275,-0.05117818099815014,0.04063466980894924,0.509919522070822,1.4362408685190349,1.9461957654173603,-7.017369664865429,-5.904884854994101
-0.8945407836741455,-0.6159242292029,-0.5932789054552948,0.1394182415826989,0.7203413738820804,1.6485434358841315,-6.951680298407326,-7.443797694149778,-0.9061992246878889,-0.6176244095395337,-0.6156269821931512,0.1394068684455383,0.727315009426637,1.6555128194869455,-7.117141254944501,-6.9159916690893946,-0.8925087855136712,-0.6192283652380064,-0.580872350078795,0.1394016801933111,0.7938489578885662,1.662854525868448,-6.711176731856852,-5.1742087457158075
-1.3942703171031883,-1.265137135353812,-1.0657070353032478,-0.4398927175385831,0.26069602116522517,1.1283683605476205,-6.362253004436369,-6.776232890661756,-1.4303416311022605,-1.2702461899753104,-1.1210931121966035,-0.44019003432784803,0.16977079303871823,1.1473548802298408,-6.452755329281816,-6.187951864620218,-1.4787526713124903,-1.2779169314986705,-1.1760200983083255,-0.4403780447444831,0.16475205772912593,1.196421860750851,-5.9649259352357875,-4.435404242969929
-1.7329223697645173,-1.8691245776549623,-1.3075383927583186,-1.0780744485448608,0.13656051040215383,0.5962503922335258,-5.633701796371498,-5.831142194010572,-1.8170175561283668,-1.917227765495237,-1.4155342123082069,-1.0947839628469707,0.09963491254440249,0.600580486804541,-5.692126903670455,-5.486362550534507,-1.9565543826936083,-1.9551591207002283,-1.6229059138123607,-1.1012818437607226,-0.25917932064381977,0.5995182048997502,-5.262427411034554,-3.7913973391380003
-1.952299240229804,-2.1773024806971706,-1.3967356429916444,-1.4523442112699272,0.16532744510062045,0.20229173361993738,-4.956980636677897,-5.379258303187152,-2.0570424811582133,-2.2897723377404855,-1.5206455358406183,-1.551747787386595,0.1296807559121429,0.1259630518916752,-4.994814537936678,-4.794924580521515,-2.30241799641262,-2.5649804421402873,-1.8676128626821111,-1.7519008996589234,-0.21571537745312483,0.020584824330056484,-4.634041724065319,-3.115741292768224
-2.04575373868022,-2.1460282580269645,-1.4080906837776057,-1.4751957202496795,0.17208046878109262,0.24550145594952502,-4.0058498573649,-4.5132903055002265,-2.2095670215873193,-2.281369865173197,-1.5568354256218775,-1.5827813724241817,0.12176958369799261,0.07724215994464144,-4.245703346104111,-4.094224409307037,-2.515526445799622,-2.7884458275622572,-1.9354653691083146,-1.9946523754679988,-0.22338289351874652,-0.25306954178020996,-3.8536834545588112,-2.334986947460467
-2.1036235485405985,-2.1171194723455224,-1.4172781421151954,-1.4369094381334107,0.14178365801819495,0.27118338168053036,-3.433549000631216,-3.9315387095780934,-2.2864475237865696,-2.262492573197033,-1.5711136766035012,-1.559266936183401,0.12371876899593331,0.08106736606988173,-3.478657968200794,-3.380013174374473,-2.623648022616803,-2.7181419022184445,-1.9559536651513192,-1.9845598077429236,-0.2245051938893189,-0.20876997184854684,-3.409691132742173,-1.7824446506748608
-2.1189260462640833,-2.089922548856128,-1.417829329778953,-1.4558990122625828,0.14178145158186434,0.24684570253978866,-2.6750198496514677,-3.177582504082255,-2.327233909958827,-2.2512945500402126,-1.5713345832615373,-1.5498636382471327,0.12462408926130877,0.12717578720379533,-2.682432191142337,-2.6512707291402977,-2.6771459812699554,-2.6861301291230175,-1.953406971940702,-1.9713168979050033,-0.22900799519338344,-0.2203557021148857,-2.6080384869374935,-1.1023170502731643
,,,,,,,,,,,,,,,,-2.7063524547413143,-2.6863513414594027,-1.9567718059058268,-1.9689899349648357,-0.22884605596196284,-0.221085920653918,-1.762751014709317,-0.3943230066773587
,,,,,,,,,,,,,,,,-2.717029480575549,-2.6858898236831332,-1.957783276802764,-1.9680988239773214,-0.22701806812071337,-0.2203180425733704,-0.8140719981954089,0.31200592836141744
