500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF
-0.24387851603684535,-0.048035899142502905,0.13191141653233177,0.5099386076965702,1.548950442824015,1.9476195511809624,-6.5760125849815125,-7.296308281193832,-0.25945080504655027,-0.04976982465736424,0.10596674120816688,0.5099245208381255,1.5229551686558975,1.9470583397892338,-6.70491589983948,-6.822396277669175,-0.27665265986384147,-0.0507080372171515,0.07450837655417583,0.5099208626137993,1.4863850971474064,1.9467681805498622,-6.53530785590091,-5.371927645911399
-0.7533237667861891,-0.6066525472706031,-0.3712438544554324,0.14141421975937557,1.01553875515331,1.6833262728211869,-6.021761797350166,-6.412253817269464,-0.7896572068383184,-0.6125633116108735,-0.4320589898219383,0.1402655405774353,0.9664080556526813,1.6781696707932487,-6.182177878570539,-6.021195283886668,-0.8637574923200706,-0.6175609384587211,-0.523651784525524,0.13959039323755826,0.8896049339151866,1.6734138878499976,-6.131745475813126,-4.592447474982463
-1.1430438887837122,-1.2117950556309933,-0.7047651458735915,-0.3998025281113017,0.9828560939735159,1.29928298413026,-5.418211822892616,-5.852312240016827,-1.1925847047547689,-1.248329908768448,-0.7646519498398797,-0.42223992345151223,0.8388387694734055,1.2802675628585023,-5.354723564932999,-5.2888434881003485,-1.3950566974895746,-1.2721398779742092,-1.0593420863189862,-0.4372573174563254,0.31147771958937537,1.255586983037444,-5.3280707997726635,-3.904465955238348
-1.3937837122184187,-1.6087395698215248,-0.7972674248348355,-0.8127606219210648,1.0212529070630116,0.9718466309471431,-4.625768343264183,-5.041101423947998,-1.494572704832724,-1.7789436800361684,-0.9239232400725897,-0.9747894731854886,0.8586003312208048,0.8684490782494566,-4.681292203834522,-4.61608577802638,-1.801198381883851,-1.9230421654820284,-1.3881774305499677,-1.0745820048631562,0.32465552474925513,0.7685183874043537,-4.69986416268928,-3.1855186878271726
-1.5412218049740134,-1.6571667781331232,-0.8361354877093007,-0.9083920940357464,0.996042440280304,0.9245836183939236,-3.9810315325834305,-4.491958184308312,-1.6708865860631932,-1.895640266182715,-0.9633567697353215,-1.0903225558003848,0.8596691513538298,0.7827157765104585,-4.010872641636935,-3.9135605562886346,-2.0693565467146735,-2.3733342284378898,-1.530438646436691,-1.5416520676712584,0.32673956744695065,0.3764504854164359,-4.08263522652094,-2.5137012304263187
-1.6191136448863095,-1.6211270059044773,-0.8397102462594258,-0.7982647430161929,1.010107130349964,1.0104132319216763,-3.1924933685557795,-3.764308821125545,-1.7656836787495207,-1.8622731700390338,-0.9747474624637327,-1.061810181012613,0.9195805028296701,0.78911641792667,-3.2604450171386707,-3.2030077333469724,-2.2255775442458323,-2.416806251046181,-1.5682081896352988,-1.6307392685317055,0.3330699844329327,0.32294678435810115,-3.3363447250074576,-1.845278909124776
-1.6553612339371797,-1.5958317516791787,-0.8599173832360559,-0.7185592163174109,1.0125620668525006,1.0449905880276045,-2.4863418207465937,-3.029252194397949,-1.8039829196392867,-1.8390540619930684,-0.9752241703582742,-1.0414844782547732,0.9302419293217957,0.809953445339526,-2.4538703299135527,-2.6098193238534564,-2.3140171334394126,-2.383955893759035,-1.5791033497911213,-1.553386297944575,0.33308016204122753,0.3246488227487824,-2.5975551081337196,-1.1441774054732545
-1.6669457741547444,-1.5257038047641813,-0.8605717724144888,-0.6862101921601363,1.0126110896707539,1.1135310996502295,-1.6461530151013124,-2.2592813490246506,-1.8275374929720487,-1.8343178810142633,-0.9755532246293999,-1.045501995782187,0.9195936574258514,0.8032623984326867,-1.7091820594692546,-1.8977929856302984,-2.360925106710184,-2.3798161749495375,-1.5812671148667898,-1.5802477157906318,0.32693360854048725,0.3500077886402699,-1.8020418821864663,-0.45740853681016114
,,,,,,,,,,,,,,,,-2.383322599034512,-2.380390389990607,-1.5814452465854119,-1.5795631458266655,0.3330818168881831,0.32793875094845404,-0.9646447773924571,0.24163333070695206
,,,,,,,,,,,,,,,,-2.39245459905896,-2.3780739234123947,-1.5815198949884957,-1.5784050741229352,0.33308185500108484,0.3280211153736644,-0.0778075809567318,0.9516105441538353
