method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-2.0368450487327667,-1.7297631787359415,-0.8758719387038619,0.9304986426173849,-2.3743185550466785,-2.0621885561713587,-1.1159409419047743,1.5582740145471776,-3.0505834221314583,-2.7402550661608167,-1.64484295771115,2.847024082777926
KDE_cv,-1.9793901998938055,-1.6053819909354514,-0.5857626069015328,1.1861583981956065,-2.338204327946111,-1.936253236469215,-0.8287088452948375,1.7567933910738747,-3.0187779561281056,-2.640996416886376,-1.3728621551836475,4.127219071236518
DPM,-2.0259425138592575,-1.6972552040058289,-0.8806435066760543,1.55314109831503,-2.3494113509603474,-1.9926483161202868,-1.017105363122287,1.7566837707673697,-3.009524120213144,-2.6632370258664024,-1.6402744189053282,4.333984984469325
DRBART,-1.502480050284767,-1.2543542981438411,-0.5102671657599049,7.38348781464576,-1.6667689618356443,-1.4097548866388778,-0.6261585288474756,7.623622313661799,-2.017448263613485,-1.7289418300814807,-1.05069786979526,8.470571927255257
