method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-0.6710768200233417,0.33778429886970496,2.684484930030948,0.8953195164103227,-0.7849037927030221,0.3051336571699492,2.6604704618618062,1.528614148881462,-1.0221340524838756,0.23003377849728782,2.5942372984829323,2.8696930673674927
KDE_cv,-1.0689733908586703,0.12011626990820423,2.4914156801153116,1.2607883872144445,-1.3325387403059823,-0.1929740033084113,2.1804177186902782,1.3943514964923227,-2.0880788768025633,-1.1621027385147968,1.2577817498545574,4.080488100461805
DPM,-0.7852886519781987,0.2920986003163923,2.661184018161242,0.7558254971716302,-0.940167495510804,0.16142819950436518,2.5435061142151025,1.1314629728510488,-1.5172808075831545,-0.32401754726157755,2.0892702915378742,3.3557434648080005
DRBART,-0.7893145602654231,0.3093691126159927,2.6507482845250236,7.614059743819032,-0.9118319539167788,0.2319956151181149,2.567453381910753,7.952395885095822,-1.3788172197908468,-0.1518517897913505,2.219376772405651,8.768794807680047
