method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-0.8054151593128702,0.3183296507691431,2.660621211331819,0.5735436499317832,-0.877537239592629,0.29239722661160317,2.6412129149613013,1.2086409714788982,-1.0676370533520525,0.22134101665451525,2.5805003342122688,2.69299164563845
KDE_cv,-1.2419862579108025,-0.0962344244201446,2.254238796431913,0.372224119332155,-1.5386073757913723,-0.4415512783104043,1.918678742025661,1.2364823266644478,-2.2448410326549184,-1.382724418611116,0.9098291802591327,3.821143949051049
DPM,-0.8716935545668946,0.22792005283549785,2.574062964375607,-0.2796184141561474,-1.0865554640676243,0.10679796141281148,2.4652564681262588,0.3673510891986041,-1.6692650192489464,-0.4072371065191824,1.9796372568381206,2.6559784624816207
DRBART,-1.1488345899732573,-0.006022753702599256,2.3689748251437477,7.350727341731612,-1.419698158614298,-0.31418027686864514,2.013377020150162,7.780498601830198,-1.7392582563423011,-0.5641306719226316,1.748827492019963,8.58317637075579
