method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-0.9456762051012123,0.3011362340037021,2.63715018353292,0.18781543776116844,-0.9645095000446626,0.2757096533713982,2.62259532740663,0.8202180594578693,-1.1140198408599353,0.21251736985765224,2.5669291213306034,2.2981352379094737
KDE_cv,-1.3916626248439359,-0.3520194343480056,1.8707139071268273,-0.08885720207843417,-1.6769527457368854,-0.6710499922761403,1.6030334425197592,0.9752366262695126,-2.394736771688518,-1.6351708862271288,0.451697661683082,3.3581833208750496
DPM,-0.999384844469599,0.17340254826893334,2.4827467194175394,-1.0289427942279439,-1.1734975698766612,0.05058432822678385,2.382262262700566,-0.5277648351203212,-1.7433749451524523,-0.4762418653822521,1.8737865496666875,1.7005480707650995
DRBART,-1.4793819807497806,-0.3832853421495686,2.0255483602920643,6.984825546876733,-1.8238837031661175,-0.992026168470155,1.1190027169905492,7.477672034049406,-2.175168313705476,-1.1928154331324783,1.0353074543912673,8.147160843617542
