500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.26994359226801695,-0.07554464198609614,0.7984850190185989,0.7141772231160052,2.9476695484040905,2.8898480800852844,-6.789322362376847,-7.393879283938532,0.26965673252982136,-0.07733471089131984,0.7981934696906644,0.7141599702671919,2.9477095208439033,2.889875500702382,-7.068939049785954,-7.225754917673179,0.2694793395365663,-0.0810040268345463,0.7982342761122885,0.7141392867515945,2.947757125018942,2.8898537751176026,-6.53020869017956,-5.2459699560866735,0.2694406396776212,-0.08296627031017044,0.7982536651808338,0.7141349596927457,2.9477683484888346,2.8898573995356833,-5.373206318966984,-2.9624636700532925
-0.162999939762706,-0.8959172767991876,0.34668488714445106,0.4685230575735318,2.371541084324922,2.7843853940411893,-6.151395763927162,-6.73497370699218,-0.15821400024936805,-0.9064007012882584,0.36148591734169505,0.46844142367595437,2.3813466889989376,2.784584447374185,-6.56548222179317,-6.485453726152898,-0.1521531756789034,-0.9213141855732563,0.36539248802427116,0.4683577027701631,2.3413487804187905,2.7843795721948776,-5.963724102807626,-4.530256174804526,-0.1513094937251344,-0.93039315152808,0.36637800305926294,0.4683381330001012,2.3276565655855284,2.784456568522757,-5.231616773688142,-2.240182615082953
-0.7816156547472539,-0.8122013609004809,-0.05194048949020488,0.43759748478118476,2.372892305643558,2.7336536385078323,-5.346634295061376,-6.061705915782589,-0.7966311104545446,-0.8201222160001261,-0.06211534759860475,0.4367153830455085,2.4009126534884446,2.733346372786883,-5.876040658561148,-5.798160369553105,-0.826987695424465,-0.8376287048600197,-0.08097491541833192,0.43611423753663053,2.3896377125399453,2.7336762362692513,-5.204155967136595,-3.8584803034508974,-0.8361643483737216,-0.845096054417411,-0.0845755928227366,0.435970187848217,2.397571059121574,2.733661276798104,-4.84592531071634,-1.583537388559104
-1.4212799820583912,-1.0157258571644965,-0.46510338574933685,0.2855796563312898,2.0923502488322243,2.577977261975251,-4.580181251744113,-5.444169338775315,-1.5659226099380743,-1.0554779152919718,-0.6119803750146553,0.2813636408576075,1.9488848314832972,2.580053581791747,-5.122856398849039,-5.118293296108013,-1.7128729454436453,-1.0977031729509978,-0.7269451648107119,0.27795797668875266,1.8174888022421058,2.579436734751963,-4.442769360636846,-3.2010771651895413,-1.7960382095380276,-1.1098690038479782,-0.7664590535114735,0.27742043940462213,1.808456804610766,2.5792121768294307,-4.2370672102864875,-0.9314809868502617
-1.6297854470672077,-1.1967008152446856,-0.5684073250299145,0.13816554059022598,2.0474553201827788,2.3428338195975438,-3.854630836423055,-4.755664925652085,-1.8630258791837553,-1.272226799586438,-0.8070326763845519,0.12751692171538928,1.8310303469184468,2.3473836057707094,-4.397779318644719,-4.43676074771545,-2.2118254382600306,-1.3762535337090085,-1.1407455072731516,0.1171376104471075,1.4635549873112768,2.350745084877621,-3.716206631187006,-2.545588806741194,-2.4926189932183593,-1.4140847284327662,-1.35535531066892,0.11513378701670925,1.1658688140546838,2.3498666729204953,-3.616426000448886,-0.2704386281484276
-1.6769916683523172,-1.629736859528995,-0.5698589537466006,-0.4188767308947584,2.0853876828047895,2.14293881574484,-3.1207528278303185,-4.0471001792452554,-1.9114363736447635,-1.7769097764113946,-0.8186098935786137,-0.4705373716962966,1.8520452123383,2.1441537998842026,-3.660162966169513,-3.73373643694283,-2.3065236205169795,-2.047450695895341,-1.229293642378134,-0.5292377169806847,1.4524434130705597,2.1389982444370603,-3.0006157372981814,-1.8814711350840954,-2.6948999078390647,-2.210291568128943,-1.623372033997503,-0.5452487749865027,0.8427005443485892,2.1387201308605115,-2.917878668154226,0.4029988175979466
-1.6943012722565112,-1.648694846512276,-0.5688703963515142,-0.46523667710592487,2.112151419450592,2.0951521253697893,-2.312730008047364,-3.242709807401547,-1.9459099860096787,-1.8226027137942307,-0.8223349240857623,-0.548972834772402,1.8850465662668512,2.0583380482326112,-2.8953406344003896,-3.023901055096874,-2.4096273589699155,-2.1786459616721614,-1.2626152483933684,-0.6954089122433378,1.474401047028811,1.9416177446559337,-2.261808726675137,-1.2062207295930496,-2.919718661955906,-2.437301085660886,-1.793781311863225,-0.7322237822626636,0.8620295095160597,1.8883208740437767,-2.268511974786984,0.9907014261878433
-1.6934231666604307,-1.6808510619826647,-0.5677885417015194,-0.5375071178517843,2.1078827380806597,2.0234165023988013,-1.5215439540428672,-2.4698722757177025,-1.9528471079078655,-1.915277590598871,-0.8241119124193338,-0.7291161812887019,1.887797032002698,1.9128194595681434,-2.114784110507372,-2.3050884373383664,-2.458150360183513,-2.4629062919895417,-1.2789534373128646,-1.1848624014145963,1.48166468069124,1.557604892131323,-1.476818771917256,-0.5122572793801222,-3.105000481134303,-2.91754422741843,-1.9132538056970319,-1.3746334019330972,0.8785592303824903,1.3752067868381688,-1.5171717040814634,1.676435968224118
,,,,,,,,,,,,,,,,-2.4774565618315676,-2.5311775637099516,-1.287003982687318,-1.3166706309668204,1.489513041113979,1.4617102605352759,-0.794611907912594,0.05834148251257258,-3.1636593651675673,-3.20752864604988,-1.953033953583158,-1.9178251115330573,0.8794364785407265,0.8713969106739451,-0.8383680092209375,2.2360600114532745
,,,,,,,,,,,,,,,,-2.4832503436653037,-2.5169659914778255,-1.2891103000875028,-1.2871353634249707,1.4951629986956945,1.4931865761216059,0.126984723519607,0.7903347635321784,-3.1916102437777893,-3.282227611681444,-1.9741214737469652,-2.065988661019448,0.8780415857493463,0.7703915642126232,0.07875967415943647,2.9371979978708196
,,,,,,,,,,,,,,,,,,,,,,,,-3.205603530794692,-3.268014368574815,-1.9846769887866131,-2.0370026795941247,0.8780150100945978,0.803100605222589,1.1559841592030917,3.7735564868775846
,,,,,,,,,,,,,,,,,,,,,,,,-3.2113589799589244,-3.2632280354247096,-1.989407308896641,-2.0280081837426627,0.878027218803271,0.8084231604865493,2.3450613444467825,4.49727930014658
