depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,0.4357,0.0005,0.4348,0.4367,0.5926,0.0,0.5926,0.5926,1.6509,0.0009,1.6494,1.6529,1.7333,0.0,1.7333,1.7333,3.8537,0.0008,3.8523,3.8554,3.8326,0.0,3.8326,3.8326,-5.5573,0.221,-6.1121,-4.8896,-2.8373,0.2593,-3.6686,-2.0891
2.0,-0.1876,0.0014,-0.1903,-0.1847,0.502,0.0,0.502,0.502,1.1433,0.0032,1.137,1.1496,1.7011,0.0,1.7011,1.7011,3.5385,0.0036,3.5324,3.5468,3.7884,0.0,3.7884,3.7884,-5.1532,0.2553,-5.4828,-4.5512,-2.0673,0.2563,-2.8858,-1.3362
3.0,-0.7961,0.0042,-0.804,-0.7874,0.3224,0.0,0.3224,0.3224,0.5873,0.0064,0.5739,0.6001,1.6296,0.0,1.6296,1.6296,3.2167,0.0092,3.2001,3.236,3.6935,0.0,3.6935,3.6935,-4.7063,0.2178,-5.0274,-4.1232,-1.3654,0.2573,-2.1633,-0.6668
4.0,-1.3909,0.0089,-1.4085,-1.3739,-0.0497,0.0001,-0.05,-0.0494,0.0129,0.0097,-0.0061,0.033,1.4516,0.0,1.4516,1.4516,2.7874,0.0145,2.7603,2.8162,3.4746,0.0002,3.4743,3.4749,-4.1338,0.233,-4.5032,-3.4656,-0.679,0.2684,-1.4878,0.1333
5.0,-1.9414,0.0155,-1.9746,-1.9115,-0.2796,0.0011,-0.2816,-0.2776,-0.5416,0.0153,-0.5694,-0.5141,1.2664,0.0,1.2664,1.2664,2.3012,0.0217,2.2587,2.3457,3.45,0.0018,3.4465,3.4534,-3.4869,0.2453,-4.026,-2.912,-0.0018,0.2633,-0.807,0.7964
6.0,-2.4009,0.0255,-2.446,-2.3572,-1.0654,0.0023,-1.07,-1.0607,-0.9954,0.0276,-1.0457,-0.9488,0.6408,0.0001,0.6407,0.641,1.7791,0.0309,1.7153,1.8436,3.2235,0.0045,3.2148,3.232,-2.7745,0.2554,-3.4277,-2.1164,0.678,0.261,-0.1123,1.4548
7.0,-2.7371,0.0365,-2.8014,-2.6717,-1.6734,0.0039,-1.6802,-1.6644,-1.2604,0.0456,-1.3473,-1.1772,0.1099,0.0007,0.1092,0.1118,1.3949,0.1013,1.2274,1.5987,2.7207,0.0142,2.6956,2.7483,-2.0499,0.2537,-2.7302,-1.3771,1.355,0.2512,0.5458,2.0285
8.0,-2.9534,0.0455,-3.0436,-2.87,-2.3529,0.0086,-2.3623,-2.3329,-1.3651,0.0563,-1.471,-1.2606,-0.5598,0.0041,-0.5647,-0.5496,1.39,0.1148,1.1578,1.6176,2.0888,0.0315,2.0516,2.1618,-1.2877,0.2511,-2.0534,-0.5902,2.0378,0.2371,1.2512,2.6534
9.0,-3.0775,0.0518,-3.1744,-2.9866,-2.9848,0.0223,-3.0143,-2.9411,-1.3962,0.0603,-1.5149,-1.2882,-1.2015,0.0215,-1.2308,-1.1454,1.3908,0.1152,1.1579,1.6174,1.5227,0.0729,1.4055,1.6881,-0.4705,0.246,-1.257,0.2213,2.7266,0.2298,1.9179,3.2557
10.0,-3.1435,0.0552,-3.2466,-3.0429,-3.2816,0.0567,-3.3842,-3.163,-1.4046,0.0613,-1.5256,-1.2948,-1.4894,0.0646,-1.6173,-1.3548,1.3926,0.1229,1.1579,1.6176,1.3397,0.1247,1.1393,1.5979,0.4247,0.2323,-0.3568,1.114,3.4175,0.2219,2.634,4.0144
11.0,-3.1769,0.0575,-3.281,-3.073,-3.2589,0.0604,-3.3817,-3.1343,-1.4067,0.0616,-1.5268,-1.2968,-1.4636,0.066,-1.6034,-1.3274,1.3927,0.1174,1.1608,1.6176,1.3692,0.1205,1.1523,1.6039,1.4152,0.2045,0.6293,1.8488,4.1057,0.2184,3.2996,4.3358
12.0,-3.193,0.0587,-3.2981,-3.0847,-3.2385,0.0589,-3.3665,-3.1182,-1.4072,0.0617,-1.5282,-1.2974,-1.4465,0.0642,-1.5854,-1.3155,1.3955,0.1188,1.1608,1.6294,1.3822,0.1191,1.1534,1.605,2.5231,0.2021,1.7154,3.0258,4.8063,0.2055,3.9931,5.0602
13.0,-3.2007,0.059,-3.3067,-3.0926,-3.2339,0.0584,-3.3513,-3.1156,-1.4074,0.0617,-1.5285,-1.2975,-1.4444,0.0641,-1.5661,-1.3147,1.3936,0.1163,1.1608,1.6176,1.3847,0.1281,1.1536,1.6385,3.7389,0.2011,2.9418,4.3447,5.5237,0.2049,4.7055,5.7838
14.0,-3.2037,0.0593,-3.3105,-3.0959,-3.2314,0.0583,-3.3493,-3.1129,-1.4075,0.0617,-1.5285,-1.2968,-1.4444,0.0641,-1.5807,-1.3189,1.3932,0.1164,1.1608,1.6176,1.381,0.1214,1.1536,1.6057,5.0321,0.2101,4.2495,5.3844,6.2636,0.1985,5.4457,6.5596
15.0,-3.2047,0.0594,-3.3117,-3.097,-3.2291,0.0582,-3.348,-3.1115,-1.4075,0.0617,-1.5285,-1.2966,-1.4443,0.0642,-1.583,-1.3125,1.3931,0.1163,1.1608,1.6176,1.3805,0.1198,1.1536,1.6057,6.3863,0.2441,5.6106,6.9693,7.0416,0.1929,6.2204,7.3241
