depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,0.436,0.0016,0.433,0.4393,0.5927,0.0,0.5927,0.5927,1.6515,0.0029,1.646,1.6575,1.7333,0.0,1.7333,1.7333,3.854,0.0026,3.8488,3.8588,3.8326,0.0,3.8326,3.8326,-6.5375,0.2225,-7.0235,-5.8838,-5.0891,0.262,-5.9217,-4.2161
2.0,-0.1851,0.0061,-0.195,-0.1705,0.5022,0.0,0.5022,0.5022,1.1445,0.0115,1.1244,1.1674,1.7011,0.0,1.7011,1.7011,3.5458,0.0117,3.5227,3.5692,3.7884,0.0,3.7884,3.7884,-5.7216,0.3334,-6.2374,-4.9647,-4.3125,0.2658,-4.919,-3.4884
3.0,-0.7769,0.0127,-0.799,-0.7484,0.3229,0.0,0.3229,0.3229,0.5946,0.0188,0.5586,0.6328,1.6296,0.0,1.6296,1.6296,3.2129,0.0294,3.1641,3.275,3.6935,0.0,3.6935,3.6935,-4.9726,0.3178,-5.4368,-4.2419,-3.6355,0.2681,-4.4479,-2.807
4.0,-1.3175,0.0233,-1.36,-1.2688,-0.0484,0.0005,-0.0493,-0.0472,0.0623,0.0289,0.0097,0.1169,1.4516,0.0,1.4516,1.4516,2.78,0.0439,2.6831,2.8691,3.4746,0.0005,3.4737,3.4759,-4.2684,0.2839,-4.7341,-3.6016,-2.9531,0.2654,-3.7568,-2.1515
5.0,-1.7595,0.0415,-1.8393,-1.6818,-0.277,0.0034,-0.284,-0.2707,-0.3554,0.0524,-0.4583,-0.2591,1.2665,0.0001,1.2664,1.2668,2.2977,0.0674,2.1622,2.4302,3.4493,0.006,3.4384,3.462,-3.5389,0.2629,-3.9302,-2.8537,-2.2732,0.2622,-3.0724,-1.524
6.0,-2.0776,0.0555,-2.1861,-1.9702,-1.0577,0.007,-1.0712,-1.0447,-0.5878,0.0726,-0.7222,-0.4578,0.6417,0.001,0.6408,0.6446,2.0265,0.1059,1.8324,2.2401,3.2217,0.0151,3.1945,3.2531,-2.8086,0.2625,-3.3362,-2.1374,-1.5881,0.2686,-2.3863,-0.8179
7.0,-2.2805,0.0685,-2.4159,-2.1508,-1.6532,0.0104,-1.669,-1.6295,-0.6765,0.0842,-0.8358,-0.5243,0.1169,0.0053,0.1106,0.1299,2.0237,0.1053,1.8336,2.2339,2.7263,0.0359,2.6799,2.8066,-2.0654,0.2583,-2.7402,-1.389,-0.9041,0.2603,-1.6972,-0.1249
8.0,-2.4001,0.0774,-2.5505,-2.2617,-2.2301,0.0344,-2.2935,-2.1664,-0.7035,0.0882,-0.8736,-0.5479,-0.4848,0.031,-0.5353,-0.4229,2.0245,0.1041,1.8341,2.234,2.1702,0.075,2.0603,2.3503,-1.2832,0.2691,-2.0767,-0.6181,-0.2061,0.2627,-1.0088,0.5426
9.0,-2.4638,0.0825,-2.6345,-2.3139,-2.4783,0.0705,-2.6198,-2.3377,-0.7111,0.0896,-0.8856,-0.5544,-0.7321,0.0747,-0.8831,-0.5844,2.0258,0.1066,1.8342,2.2392,2.0299,0.1147,1.773,2.2249,-0.4576,0.2526,-1.2213,0.2016,0.4985,0.2549,-0.2983,1.2626
10.0,-2.4945,0.0853,-2.6749,-2.3404,-2.458,0.0739,-2.6104,-2.3145,-0.7128,0.0899,-0.8865,-0.5565,-0.7153,0.0785,-0.8829,-0.5671,2.0328,0.1305,1.8342,2.2431,2.047,0.1125,1.8423,2.237,0.4374,0.2461,-0.3232,1.1291,1.2108,0.2401,0.4208,1.8632
11.0,-2.4986,0.0856,-2.679,-2.3426,-2.4334,0.0731,-2.5806,-2.2938,-0.713,0.0899,-0.8865,-0.5566,-0.6992,0.0777,-0.8787,-0.5583,2.0302,0.1181,1.8342,2.2431,2.0546,0.1106,1.8565,2.2495,1.4281,0.2221,0.6797,2.0669,1.953,0.2245,1.165,2.5799
