depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,0.4357,0.0049,0.4269,0.4455,0.5937,0.0,0.5937,0.5937,1.6504,0.0089,1.6345,1.6679,1.7333,0.0,1.7333,1.7333,3.8516,0.0087,3.8332,3.8634,3.8326,0.0,3.8326,3.8326,-6.7323,0.2793,-7.1701,-5.9611,-7.0621,0.2944,-8.014,-6.3504
2.0,-0.1692,0.0212,-0.1949,-0.1166,0.5049,0.0,0.5049,0.5049,1.1476,0.0322,1.0884,1.212,1.7011,0.0,1.7011,1.7011,3.5589,0.0309,3.5039,3.6189,3.7884,0.0,3.7884,3.7884,-5.9245,0.2834,-6.6181,-5.0928,-6.3999,0.2837,-7.283,-5.5977
3.0,-0.7214,0.0404,-0.7885,-0.6415,0.3288,0.0,0.3288,0.3288,0.6277,0.0603,0.5204,0.7432,1.6296,0.0,1.6296,1.6296,3.2152,0.0868,3.0691,3.3933,3.6935,0.0,3.6935,3.6935,-5.1125,0.2885,-5.9135,-4.349,-5.749,0.2665,-6.6106,-4.9084
4.0,-1.1712,0.0638,-1.2726,-1.0211,-0.0358,0.0019,-0.0387,-0.0318,0.208,0.0894,0.0611,0.3938,1.4516,0.0,1.4516,1.4516,2.7986,0.1373,2.5529,3.052,3.4747,0.0019,3.4715,3.4784,-4.3296,0.2776,-5.1344,-3.6878,-5.0716,0.2671,-5.9208,-4.2528
5.0,-1.5055,0.0887,-1.663,-1.332,-0.2545,0.0103,-0.2722,-0.2332,-0.0377,0.1283,-0.2557,0.2184,1.2673,0.001,1.2664,1.2704,2.5459,0.2728,2.1701,3.1063,3.4475,0.0183,3.409,3.4804,-3.5768,0.2751,-4.3993,-2.9027,-4.3715,0.2711,-5.2233,-3.5496
6.0,-1.72,0.1056,-1.8949,-1.5014,-0.9853,0.0235,-1.0168,-0.9334,-0.1301,0.1484,-0.3668,0.1788,0.6505,0.0086,0.6413,0.6749,2.5798,0.3777,2.1421,3.8954,3.2165,0.0462,3.1166,3.2975,-2.8241,0.2761,-3.6,-2.152,-3.6544,0.2706,-4.4899,-2.8681
7.0,-1.8257,0.1165,-2.0407,-1.5855,-1.4271,0.0482,-1.51,-1.3286,-0.15,0.1541,-0.4124,0.1533,0.2069,0.0459,0.1308,0.2941,2.6775,0.4868,2.1772,4.1551,2.8046,0.0743,2.6845,2.9458,-2.0621,0.2742,-2.8659,-1.4012,-2.9047,0.2765,-3.7413,-2.087
8.0,-1.8523,0.1195,-2.0747,-1.6046,-1.6023,0.096,-1.7867,-1.4247,-0.1577,0.1526,-0.427,0.1359,-0.0144,0.1184,-0.2397,0.1913,2.6763,0.4688,2.1763,4.1788,2.6532,0.1468,2.3701,2.8948,-1.2792,0.2704,-1.999,-0.6056,-2.1586,0.2682,-2.8454,-1.3818
