500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF
0.04822470280035992,0.12768760442319016,1.1668782085102702,1.169941394866009,4.309481276527822,4.310044735735715,-6.911076578971753,-7.558191044893071,0.04688065847363804,0.12649865806441518,1.1668880297657993,1.1698992948225806,4.309505641992642,4.31008751807465,-7.016740776029509,-7.130683216909166,0.04589072160848195,0.12552704461611805,1.1668827063060578,1.169866897966231,4.30952255081276,4.31012237322737,-6.767666779032795,-5.639888862919765
0.03187322394780392,0.1129678867554505,1.1660071182844214,1.1684041076479146,4.310009967840623,4.313290214865931,-6.287655648470349,-6.818771380658063,0.027254828852859802,0.10850208813154368,1.1659198342242463,1.1682580118359172,4.30977925111962,4.313404844664879,-6.46704945418518,-6.412021716517552,0.025505501612299235,0.10056866058345343,1.1659949020881548,1.168053504383459,4.309043648175216,4.313464164083461,-6.3764041076021964,-4.931459085940271
-0.12704743667793209,-0.013073577411282894,1.1417313241789622,1.1614451131560046,4.312987630344369,4.309167951851855,-5.603342470170186,-6.212201288676067,-0.1595283638391839,-0.020781715174743656,1.136139712591727,1.160918975784717,4.313311687068827,4.309286550095996,-5.756164512289342,-5.720830268369164,-0.20948886569970848,-0.026858957905535937,1.1379949593880132,1.1606531460661875,4.313526826369305,4.309422197798163,-5.769545237527799,-4.286987826753497
-0.46659506903822867,-0.18280261063160355,1.0378156927596829,1.1422552995315953,4.314067403832283,4.300788620464217,-4.878007234582281,-5.539431401342332,-0.533826222748173,-0.20304182516307517,1.0335750859767088,1.1413234349311303,4.314561018669412,4.301092834084363,-5.009603770847978,-5.061076221932991,-0.6445859327063781,-0.22688679130191824,1.0317879627833233,1.1405720412283866,4.314893464296319,4.301324099154015,-5.066011596831015,-3.6172946036131846
-0.8761988543936959,-0.38658792805613684,0.7037787395871976,1.110470732916675,4.3164620874035124,4.283800644621355,-4.145847623547024,-4.852381533410539,-1.0108011530225587,-0.4354675684715776,0.6689374822240995,1.1087215740625147,4.315521842291293,4.284488535128393,-4.280158521707539,-4.372053848710935,-1.2042393711463797,-0.4882604244458668,0.6776157802623314,1.107348706943936,4.31519284034347,4.284912920833459,-4.359114425086153,-2.9348456437825052
-1.1517784643323532,-0.4583537957721353,0.4583654268050266,1.081680494992792,4.341864717393369,4.248783976290136,-3.414994814939111,-4.144846061736216,-1.4029361154383673,-0.5325822399347242,0.3538141682992695,1.07840861636582,4.319658902750918,4.250369502524399,-3.5431878265639933,-3.6733700116838124,-1.717239700581046,-0.6192967500500438,0.19269256834243872,1.0756415437482492,4.315945044374227,4.251217643101352,-3.631331726242575,-2.2864380863967226
-1.270069322144746,-0.6032310610694369,0.3437931282946308,1.017003712725827,4.429571186586191,4.174907893688506,-2.6573233530551787,-3.4232250139155282,-1.621221062477274,-0.7333902548051477,0.17142264644748317,1.0111862888924632,4.346177628800487,4.1781830451038235,-2.788665419894191,-3.0152529502273704,-2.117488505429121,-0.8776576116388949,-0.08365565464842473,1.0063384890201241,4.316196832659804,4.1801478656453135,-2.9243891900201913,-1.6522778513852319
-1.277846384647245,-0.7754949517537939,0.31400041120570205,0.882377986597327,4.425016025386523,4.0084614796532465,-1.8769104629543505,-2.6659916249418787,-1.7143682309337922,-0.9827770664558133,0.051798310088699534,0.8699384004262615,4.416953390423385,4.015749700948586,-2.0490765276036806,-2.3001144647531757,-2.389356151793062,-1.242957290734408,-0.3132740224040187,0.8591771598989975,4.31574792512655,4.020891715159819,-2.130875001776282,-0.9576962201409573
,,,,,,,,,,,,,,,,-2.51446468229897,-1.576917185186881,-0.502048665671765,0.6886197921411266,4.306371657790069,4.257642221422091,-1.3263041868588186,-0.25833968914264316
,,,,,,,,,,,,,,,,-2.5745776919487717,-2.0916847139704826,-0.6115272929916082,0.17577424116873697,4.313952936307931,4.236421683654971,-0.4058614421868891,0.4487176007238191
