1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF
-0.21576574682440397,-0.39341485373928997,-0.10872028313835737,-0.23607060993844006,0.5043752321565821,0.3676629267925467,-7.46665051411891,-7.719334891814591
-0.7652289618785647,-1.213104562229422,-0.569715227379348,-0.8846227272648948,0.32668753827154506,0.0892690663453452,-7.0814207640200575,-6.95420132251603
-1.291354901815164,-1.8187540225233056,-1.0673786767864388,-1.4974625770930172,-0.03984841070653606,-0.37701918202898677,-6.428568748235197,-6.251722695687354
-1.7407864703585199,-2.2473221512020167,-1.5406789185811898,-1.9232084079117524,-0.4897690175289405,-0.8243301321285205,-5.708926862584879,-5.577061612381388
-2.047659136730194,-2.2861078716490586,-1.8461360243882605,-1.9686367002272518,-0.8111164184472275,-0.8298015113200677,-4.995904641898324,-4.877597747616049
-2.258250826206323,-2.271452943697453,-2.011399237056409,-1.955142193820014,-0.938783695165693,-0.8344042558325401,-4.257391770492205,-4.1777152238926165
-2.354054664046227,-2.2587511025812983,-2.07763630762804,-1.9459508352870203,-0.9535000600691004,-0.8073278927405386,-3.4984354328583196,-3.4621100726347716
-2.41142465237819,-2.247360591767591,-2.092457828820329,-1.9397500319072531,-0.9250654653749113,-0.8015665994375059,-2.7064743648512093,-2.739605322807328
