1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF
-0.21219738193583232,-0.3803591631915437,-0.09981664776727546,-0.235600720204326,0.5283918234656352,0.40159662487025277,-7.054121769366656,-7.122702838918834
-0.7435195072485302,-1.197679044549233,-0.533394677621945,-0.8789713723985245,0.3784040207368523,0.1782495636176961,-6.503114860459623,-6.354206517226939
-1.233233261035189,-1.7836200393713242,-1.0056576442988856,-1.4663382543106158,0.07758011703791153,-0.28611512488170177,-5.764359578787349,-5.623244725206121
-1.637393258036374,-2.1006657973617266,-1.423207473690094,-1.768350381496338,-0.27483783440236603,-0.5837114985345324,-4.974328595280997,-4.9760746298539456
-1.9104191125647563,-2.1195266216902096,-1.6882454988256368,-1.7864560710750041,-0.5634981930650913,-0.5853883372457304,-4.300903889836423,-4.270810141176153
-2.0744347743724156,-2.092021537948786,-1.8094271775196467,-1.7629218997115448,-0.6129744721900738,-0.5520554228805785,-3.555338702034,-3.5766140185034465
-2.1545928747238206,-2.0761926350942503,-1.8438522372048973,-1.7539688263764268,-0.562700263202775,-0.5363029118126179,-2.797730478877508,-2.8901871649856985
-2.18525632240346,-2.06317404057081,-1.8501356691707516,-1.7470658410603324,-0.48066369687375965,-0.5131896836341905,-2.0470731343659683,-2.1879687311573277
