depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,-0.359,0.0015,-0.362,-0.3561,-0.4256,0.003,-0.4311,-0.4185,0.1633,0.0013,0.1614,0.1663,0.1518,0.0001,0.1518,0.1522,1.9769,0.001,1.9751,1.979,1.9705,0.002,1.9665,1.9749,-6.66,0.2516,-7.2905,-6.0219,-5.1873,0.3058,-5.959,-4.5889
2.0,-0.8315,0.0298,-0.8832,-0.7725,-0.8369,0.0119,-0.8609,-0.8124,-0.323,0.0463,-0.412,-0.242,-0.1046,0.0003,-0.1049,-0.1037,1.3206,0.0495,1.2503,1.4368,1.8167,0.0048,1.807,1.8263,-5.909,0.3342,-6.6596,-5.1023,-4.477,0.2897,-5.2328,-3.9098
3.0,-1.1821,0.0195,-1.2149,-1.1412,-1.0833,0.0104,-1.1026,-1.061,-0.5344,0.0359,-0.5904,-0.4531,-0.1847,0.0007,-0.1856,-0.1828,1.4646,0.0957,1.2452,1.6181,1.7142,0.0101,1.6956,1.7331,-5.1456,0.3243,-5.8764,-4.5156,-3.8325,0.2952,-4.5993,-3.256
4.0,-1.7636,0.0314,-1.8142,-1.698,-1.5198,0.022,-1.5566,-1.4738,-1.1073,0.0351,-1.1572,-1.0174,-0.4458,0.002,-0.4488,-0.4405,1.1168,0.0869,0.9495,1.2574,1.404,0.0265,1.3541,1.4549,-4.4097,0.3078,-5.1243,-3.9174,-3.1724,0.2903,-3.8954,-2.5987
5.0,-2.194,0.0501,-2.2786,-2.0894,-1.6913,0.0346,-1.7499,-1.6235,-1.5695,0.0659,-1.6776,-1.4213,-0.6127,0.0044,-0.6193,-0.6028,0.6487,0.1467,0.368,0.9854,1.4578,0.0311,1.3926,1.5124,-3.6718,0.3095,-4.3893,-3.1658,-2.5076,0.2856,-3.2306,-1.9275
6.0,-2.3509,0.0676,-2.4735,-2.2144,-2.124,0.0582,-2.2334,-2.0144,-1.7003,0.0968,-1.8656,-1.4966,-1.227,0.0189,-1.2581,-1.1846,0.5844,0.1678,0.2849,0.9483,1.0567,0.0584,0.9562,1.179,-2.9295,0.3079,-3.6504,-2.3988,-1.8304,0.2826,-2.5486,-1.2545
7.0,-2.3759,0.0701,-2.5177,-2.2302,-2.3029,0.0699,-2.4418,-2.172,-1.6962,0.1024,-1.8782,-1.4889,-1.6409,0.0501,-1.7243,-1.5348,0.6082,0.1841,0.2995,1.0005,0.6413,0.1063,0.4499,0.8595,-2.1742,0.3038,-2.8959,-1.6238,-1.1471,0.2813,-1.8618,-0.5605
8.0,-2.3674,0.0693,-2.4985,-2.2295,-2.335,0.0734,-2.4846,-2.1948,-1.6871,0.1,-1.8554,-1.4696,-1.7164,0.0712,-1.8606,-1.5854,0.6305,0.2364,0.3094,1.0298,0.5689,0.1345,0.3203,0.8537,-0.5719,0.2942,-1.2936,0.0092,0.2594,0.2874,-0.471,0.8579
9.0,-2.3666,0.0696,-2.4989,-2.2281,-2.3321,0.0725,-2.4794,-2.1961,-1.6871,0.1,-1.8518,-1.4679,-1.7075,0.0708,-1.8472,-1.5781,0.6281,0.2287,0.3096,1.0141,0.5854,0.1555,0.3515,0.907,0.328,0.2857,-0.3897,0.9118,1.0018,0.2826,0.2791,1.6024
10.0,-2.3666,0.0694,-2.4986,-2.2279,-2.332,0.0727,-2.4769,-2.1972,-1.6872,0.1,-1.8539,-1.4675,-1.7045,0.0727,-1.8458,-1.5501,0.6266,0.2177,0.3097,1.0161,0.6035,0.1995,0.3334,1.0372,1.316,0.2752,0.599,1.8885,1.731,0.2803,0.9927,2.3328
