method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-0.009472908795712191,1.1630665946541519,4.310581968457509,0.5403936021522977,-0.018161686985429366,1.1594095865334357,4.31037310188636,1.214330178699402,-0.07984200855001622,1.148070595798279,4.308844965743196,2.7274331980473905
KDE_cv,-0.6478397632584294,0.9907612145553087,4.223870657175649,0.2371486116855921,-0.8066795362994389,0.9012937004820882,4.172691690231926,1.0755151423539624,-1.303541426801504,0.6100653321146062,3.860122174431425,3.643007329098135
DPM,-0.21746841109957207,1.1432871978161707,4.311528109197273,-0.8654983231504428,-0.26204030185540217,1.1302334825453746,4.308698079782173,-1.3265238623748945,-0.3221400329161364,1.0922774108819362,4.304225291444988,0.8306393378009226
DRBART,-0.7722831110403013,0.794725031369565,4.045059449472253,6.964065854635532,-0.8728272841533398,0.5934973454545872,3.8329024605667135,7.239665700968663,-1.1575660183654037,0.2577689568033028,3.819196867621115,8.244649998584197
