method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,0.025196249562606562,0.0005733354616236828,0.0007486917823306176,0.10767230086020038,0.017750688379170626,0.00055483044966679,0.0006728078012149213,0.10688749708973817,0.010193559089325612,0.00034457095404313945,0.0003824967339342217,0.09900201168601541
KDE_cv,0.04486967840230184,0.017352132069035475,0.013280882260249998,0.12553579836111928,0.0374220050882766,0.020474855665324077,0.019492257033599775,0.1262189190124871,0.02619504617284429,0.022988828860473983,0.03531482391821351,0.07229722306615202
DPM,0.1006429987828727,0.009174911535539884,0.0008512683005350983,0.3188213020712884,0.023017236588027623,0.0016419001687510513,0.0012658881400795174,0.2971774623517226,0.006584238134239043,0.0020191558556579407,0.0009710392749157386,0.4066049044599572
DRBART,0.2004702681268979,0.11305717526874175,0.0755351299352424,0.20712202177548328,0.25082910144586135,0.1814893775157349,0.13705052148626617,0.19284129403312714,0.3023183622005598,0.3001031729881493,0.13233727751277477,0.1877268267621323
