500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.23848375563356114,0.10482925877197578,0.6361998754810178,0.6027185077798265,2.7445657578845886,2.770292164051549,-5.836192849416478,-6.009374061776728,0.2374991401578864,0.09477501845616208,0.6349595512905457,0.602070176312758,2.7443254971252395,2.7682610254551587,-6.711395779180007,-6.8542470298480485,0.23661591917072336,0.08487686946940849,0.6336951744899129,0.6017904865950385,2.7440299989890162,2.766957658868672,-5.374508743125777,-4.008155955720381,0.23624835515177442,0.07817585689449508,0.6330652950076968,0.6017002107749436,2.7438508076722172,2.765905676803739,-4.516324136366158,-1.9712973819960278
-0.03739702111464135,-0.5835515179146529,0.5517335292736609,0.41308347866165157,2.766501888228065,2.7485766549736765,-5.342055579715631,-5.849134749156248,-0.05218641340749409,-0.6091861987105383,0.5498988189883786,0.41125788492819504,2.766170653088817,2.7459404215659013,-6.212483480797533,-6.139315135627734,-0.06268935935055273,-0.6453790334000056,0.5471681417680745,0.4104655574595098,2.7659463804689537,2.7429681841475713,-4.84352987123961,-3.30362292225072,-0.15537809099407496,-0.6640289529710044,0.5275189740932335,0.41021735090605493,2.7656218700801833,2.7408452271363157,-4.303314251437998,-1.207718046772948
-0.415975381048633,-0.6430682311187804,0.449482111986328,0.3790945995155023,2.7768447365429942,2.708929642929447,-4.414222393058923,-5.154351016822418,-0.42856392591779857,-0.6779892217054935,0.44015755299374865,0.3752941290272475,2.7769223286758566,2.697608753628203,-5.539683926835287,-5.4152165502586715,-0.4583149145251384,-0.7153906189814532,0.43300101143433917,0.374141652506639,2.774597802821316,2.692975350920466,-4.098470565452895,-2.663151449987324,-0.4741650618085132,-0.7369609519834845,0.4320769484378081,0.3737054900435651,2.7660364877175954,2.6887798737105997,-3.9219202353195666,-0.5923247759368178
-0.9992288366656369,-0.8025134107739719,-0.0820319378454465,0.2962515111871747,2.6237199579482713,2.615341173427999,-3.6985316858129282,-4.439152786615619,-1.054418434067839,-0.8542820147005228,-0.10790983344552785,0.29066009466133197,2.635003261944334,2.5963155040701547,-4.795255465592625,-4.729279157351838,-1.1559977519137612,-1.0493461959597057,-0.16985685809991824,0.26751387103823276,2.5953228238848562,2.5857735964334694,-3.302758058599911,-2.0124549991064615,-1.2240236374728644,-1.082871917705096,-0.21211649638443272,0.2658886818259162,2.5615806979019546,2.576010705321081,-3.332621067446158,0.056269641153952096
-1.2643671353757062,-0.9286411869453031,-0.2632595495570682,0.1760382528458229,2.549010869749602,2.4452777213102244,-2.811203268102644,-3.6820219909473884,-1.396014021849972,-0.9950399332602576,-0.3528681504880826,0.16015734979995877,2.3734001540887615,2.408072736275781,-4.032654145547206,-4.044299988080297,-1.6466223209992346,-1.3016752423852078,-0.5788800895326351,0.12260564537049312,2.2021841457805027,2.385634087716213,-2.5313400122224,-1.3117705563374062,-1.8158666141901345,-1.3776003514056356,-0.6764176447062181,0.11872928690137723,2.09628807599369,2.3660695778014693,-2.6935433643023727,0.7554445466113666
-1.391629458238668,-1.2618077572089714,-0.384916588232025,-0.3154843115038375,2.6378347731415785,2.358414033601569,-2.2639350095489887,-3.02650278820092,-1.612742315277005,-1.368748211836577,-0.6202694554971451,-0.3815744983577148,2.305646529961084,2.2777481505132253,-3.3161850903984726,-3.4083015546472732,-1.996140506650975,-1.896690166301318,-0.9977203970475408,-0.5166548584200206,1.6784439585595854,2.219374684681657,-1.7918066067549923,-0.6978321919085808,-2.327241371886763,-2.1342648750765165,-1.3062616684703727,-0.5431407028337165,1.434202674507414,2.168073865664024,-1.9992789742850363,1.4526520686405298
-1.4518523675980848,-1.2967385954560207,-0.388360920754897,-0.36524429387572277,3.0010228275118536,2.3585019714223985,-1.0337817367758342,-1.9950214010754943,-1.6911251340789404,-1.4261695399285905,-0.6357016335621407,-0.4658178469083429,2.4773491932614173,2.215619409915608,-2.5760129723017906,-2.722211524650766,-2.2624013720259275,-2.039147996045483,-1.1671226617473505,-0.6836906771545956,1.6955032400074055,2.0078100624076582,-1.0899709438796712,0.023634076188301663,-2.7079581036427283,-2.3401231236722544,-1.6275263418529238,-0.7289116302405956,1.0130089887117486,1.9314202890695362,-1.109199873882965,2.2001324358407954
-1.4538169128792693,-1.3080088521246702,-0.40996435129684955,-0.394159533166277,3.1426663642499166,2.2691763121753463,-0.2518833514918864,-1.2158521074878592,-1.7222227695818728,-1.5113208046273625,-0.6546656336072366,-0.5780213504869761,2.8157570772109457,2.1151582437376404,-1.7840658161419491,-2.0132541637649957,-2.3727324579124325,-2.2849549526231234,-1.2210807608984988,-1.1057611574470527,1.6826823971909428,1.7889425352864317,-0.3064848853718202,0.5776126429966691,-2.948884904768075,-2.770830026437404,-1.8679410652786224,-1.359676323279794,0.996761576073752,1.4549896058586773,-0.3545128854602604,2.873148795057766
,,,,,,,,,,,,,,,,-2.402979014965034,-2.3612932976001386,-1.23283700777987,-1.217888582858875,1.6827806356696051,1.6789934787177372,0.354949724138487,1.2656268507309973,-3.062239026739093,-3.0304112534785443,-1.9687329992845304,-1.8767856061131125,1.0122274928930775,0.9859544134547367,0.13338539248559844,3.2563921456101017
,,,,,,,,,,,,,,,,-2.410991517473886,-2.358257985902231,-1.228838809783385,-1.192875055353852,1.8172137643765065,1.7335035630947337,1.2834187576435743,1.9945403409428577,-3.115661675269159,-3.1301892299827045,-1.9967182273792647,-2.05178630710866,1.0155405793041268,0.9239333338326053,1.0964851054342304,3.960586091377181
