500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.23605693576441822,0.04497579814784313,0.6302565811548527,0.6016885627664635,2.74236038085189,2.760731260414238,-7.3546161320208245,-8.084517593547005,0.23550191339760496,0.057759423669977814,0.6307597449888837,0.6016880010471348,2.7429166502518885,2.7623489980814298,-7.432569552785256,-7.743883590926098,0.23564115414294337,0.06593109385743712,0.6316608634887592,0.6016878323528047,2.743353219143832,2.7639342416939123,-7.16871639649365,-5.990969908421914,0.23591890521402534,0.0725321946734065,0.6323919254657201,0.6016878142686798,2.743630739171461,2.7650051689564146,-6.09008826855252,-3.7190546972001757
-0.3008767729194881,-0.7172007818904255,0.4852371104827755,0.41023189146192934,2.7576962797742413,2.73100648565959,-6.730071740798149,-7.391467274789748,-0.2987242510423094,-0.6976943559880812,0.486928502903877,0.4102021490246041,2.7580887000764935,2.734064997369112,-7.029496124294326,-6.966104166910796,-0.2939798727311251,-0.6903811174614407,0.49127740281039844,0.410189699405993,2.758601041838452,2.737076813369136,-6.657429365256917,-5.259954681549534,-0.286769341980443,-0.6781506924428493,0.49463707937127455,0.4101864484563554,2.7626844697585113,2.7390408068755066,-5.947640775931986,-2.987499873936856
-0.6816341762665322,-0.7711844821788604,0.015982285830107825,0.3737968704078749,2.641407450346195,2.6665365452883973,-5.946031870145818,-6.7154631422811955,-0.6629659862970179,-0.7566152891872449,0.07821455705457554,0.37374684856667467,2.6916627817015972,2.674158110260409,-6.39535149109934,-6.269824814590649,-0.6137605421562076,-0.7549466673657093,0.20892009097195532,0.3736721373818429,2.7322519930750837,2.6807727948385924,-5.888784519720134,-4.596296750838254,-0.5860340336381554,-0.7491940576191378,0.4238708310016925,0.37366356276875645,2.752229075173273,2.6849410635920257,-5.484288982995475,-2.3016601014094764
-1.3032893200521263,-1.0328454896475747,-0.5021980419395238,0.26884624170178084,1.9157917440941046,2.5249478065679956,-5.177379259962472,-6.0118127669808095,-1.3632293876160348,-1.0726416009919453,-0.5513781429455958,0.2665974300998525,1.896454506298742,2.543655887693813,-5.69374158826485,-5.601512420717373,-1.4009628289815308,-1.0916342673395418,-0.4494429942211491,0.26580736999052995,2.0386425599757234,2.5588897977022755,-5.097092325657294,-3.9209505178735897,-1.4186308146543267,-1.0966775337191317,-0.2888118822665311,0.2657225666552552,2.5123775554923706,2.5669103671950877,-4.873942580769183,-1.6528156494391377
-1.7276891242295382,-1.216177888072247,-0.7365954480072059,0.128738082782605,1.756027586772775,2.243299426038119,-4.417650964751346,-5.320290044693154,-1.8914034962032804,-1.2990500748716636,-0.8925896652532482,0.12264914903450909,1.6687215644368598,2.2856631103658276,-4.989908993378374,-4.896544629918346,-1.9629713462558365,-1.3645171071569273,-0.8309043943096583,0.11900589874720549,1.913538835154222,2.3254107968269153,-4.393750200998931,-3.2129377532529224,-2.076715254592648,-1.4039716234174582,-0.7999633437405905,0.11803000536990849,1.9977422355180778,2.344868226605281,-4.306141158852441,-0.9861840337419611
-1.9065418550965452,-1.7053595339963479,-0.9189601768351945,-0.4899025178158037,1.524511332648847,1.9450736017484695,-3.672764450424556,-4.61224893341195,-2.110663098209814,-1.8734632916430796,-1.0767000251594407,-0.5186898354043779,1.4651589112395138,1.999347700754061,-4.25005743387889,-4.197477125624939,-2.370662272674162,-2.0475480626869342,-1.3103783657602655,-0.5379003514727342,1.2241840613753845,2.0645619535121758,-3.6549339287986946,-2.586211006048323,-2.6316320931177763,-2.2151649469271604,-1.4998513960502853,-0.5468880406321867,1.0985422754887624,2.116525290463134,-3.6174051942235046,-0.31145636054397396
-2.0299119893828688,-1.7833978023515042,-0.9978146450807716,-0.6087693783459371,1.4663387630865827,1.8780214549093246,-2.9117475957663728,-3.8631989015490285,-2.1751049684134975,-1.9724476339063377,-1.1735659003736845,-0.6740106700990158,1.4026020037363143,1.876709403615914,-3.481376847714205,-3.4780831639144574,-2.6007499637536036,-2.2038974322752902,-1.5032387683250144,-0.7182673445994067,1.0675539244187893,1.8717594680002176,-2.9311448057065066,-1.8824144743541813,-2.920235237126531,-2.449436909245002,-1.8023655645859293,-0.7363068385336581,0.6652064291593099,1.8641824695583278,-2.9092329698375683,0.36235377946794084
-2.0184450338494746,-1.8319405629105847,-0.9961356581554565,-0.875959021165796,1.511564876660934,1.526950963446008,-2.1303495311090876,-3.105758941010726,-2.2024124714273223,-2.149909648226662,-1.1932921189501806,-1.1186384238339673,1.3960878643060046,1.4634268953666383,-2.688861635093111,-2.7483750687721566,-2.6629220379541523,-2.530977898173565,-1.5981215576133554,-1.3068147270794521,1.0855980692292702,1.3227108870193662,-2.153841684068269,-1.1911743291359917,-3.1537646630149823,-2.9461255631910603,-2.0620578684807875,-1.3888088510269403,0.5032862786007135,1.2982436172647427,-2.152029322420996,1.0477547889436734
,,,,,,,,,,,,,,,,-2.7142002214301724,-2.6587129323987178,-1.6085399997182737,-1.626740907536865,1.0869137372079645,1.0596306996546878,-1.3161131171363811,-0.48879564699624745,-3.2871694480268028,-3.2604217420350197,-2.1675663286913696,-1.9823591765707829,0.5054011991946319,0.7150966889770995,-1.2861548804944167,1.7575445122709505
,,,,,,,,,,,,,,,,-2.721228270038029,-2.665351940729265,-1.6077560457438207,-1.6234494979856708,1.087946464609363,1.0976899984911888,-0.44943351259590686,0.2506967860773175,-3.3269772745449124,-3.3859854412345696,-2.2061704739299945,-2.263442466932568,0.507918491406566,0.4583133271276053,-0.39347235858789903,2.4474969045223234
