method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-1.638495826878661,-0.42921040748491524,1.7152662477471072,0.2569319623548315,-1.8813217103915136,-0.5501334664947352,1.6923818775731652,0.8726450072871118,-2.304651328105215,-0.7800711166649229,1.635515019529849,2.242172657248136
KDE_cv,-1.6998089388572142,-0.5704934588940823,1.7124956417486141,0.613903536886808,-1.8907891926184914,-0.62618132932005,1.70671590423273,1.3487266253519603,-2.522558116055356,-1.0457762299869633,1.6170913887413596,3.7816240459019324
DPM,-1.4522842784258627,-0.33697030025021574,1.871355098990846,0.6784468540837254,-1.6961460788060876,-0.4949988418340305,1.8596643806965205,1.349714799968736,-2.2329552669813375,-0.7911649354767896,1.8142295202964416,3.261125216426687
DRBART,-1.1485033228454535,-0.004064346813713711,2.0610493135240913,7.566908463526934,-1.2952557837128293,-0.07042405061705277,2.11459019449355,7.85245386277206,-2.1039183195162163,-0.5987598236163546,2.091807926969708,8.823828382265763
