method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-1.9385744210221798,-0.5926922690863876,1.6400911472866113,-0.049700871125113906,-2.0974327514076974,-0.6685615271987667,1.6281007776587173,0.5615034821086231,-2.4788440447649016,-0.8485922928290069,1.6004464568138044,2.044659800130851
KDE_cv,-2.0346503326244108,-0.8641889023867603,1.5807950809243452,0.35791655420430113,-2.215444504985561,-1.0089214971110787,1.567590629546821,1.1722723831566593,-2.71810925126973,-1.3546732908200627,1.5431365136528212,3.710941911284576
DPM,-1.7791835828607494,-0.5309392902908975,1.7953675147193286,0.12286535258337702,-1.9686915799577258,-0.643105748543185,1.7867579442227592,0.4537356366597877,-2.41109140154187,-0.8932768400209607,1.7693480358519293,2.845265479218371
DRBART,-1.8234130029537412,-0.5798377469164285,1.732730728623345,7.353134690939134,-2.0453994636282045,-0.7470508792059509,1.7221162182610965,7.67781127522446,-2.5608169376359378,-1.253699741500737,1.6743727409126499,8.581267852667722
