method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,0.035307527163790195,0.018998455020262026,0.02419408844714507,0.13676779677871068,0.032441518754067054,0.016581066379713218,0.021360404729129232,0.13332600105960044,0.023096448196720357,0.010320394784701252,0.013480775610360115,0.11146220032210742
KDE_cv,0.09098286983131727,0.11229687669049987,0.12146848844870348,0.32739178154367937,0.09462850967544255,0.13619879547207034,0.14714303332203366,0.12808558329778158,0.0802159448621573,0.1608986136144542,0.22418706975738478,0.22256884323239193
DPM,0.11870709961851025,0.11752529991773837,0.1331886337066384,0.49613891404411836,0.07684068249274052,0.08694715254529845,0.1083457007837951,0.48737534684486655,0.0643808216310646,0.07141238117389433,0.11489545674970011,0.4625502037832627
DRBART,0.09085596052176931,0.03868397205901359,0.03404255074937295,0.19797017618455512,0.23612708928811055,0.2813432264030189,0.2986315969039534,0.17716358872022814,0.27599866213573143,0.45100137078389185,0.596366856237044,0.17289399913907605
