method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-1.0915062173694108,0.23568634003407282,2.5882595628711367,0.14586120701905164,-1.146980619090035,0.21046707289887914,2.5666669884041613,0.7277420061609868,-1.271405547575725,0.1426879293750165,2.503625759196534,2.3290211496405724
KDE_cv,-1.4123709665949393,-0.22982311693431548,2.0638468757692667,-0.025665082107786872,-1.6782288103909468,-0.5344372237285031,1.8026695943654525,0.8534286363147005,-2.4219785662987223,-1.5074926727589193,0.7070208740241118,3.370724081405999
DPM,-1.2355529777113172,-0.05961075273920693,2.202752563435171,-0.9072659531841859,-1.4217326690036791,-0.22393721958549606,2.041182029462149,-0.856711905303008,-1.9630112983397856,-0.8368991323473115,1.3669192678877198,1.5085514599880172
DRBART,-0.9668462422311452,0.25739700476010907,2.5864760837321077,6.926482454070388,-1.7376450827713923,-0.7163346013361812,1.4839941492981663,7.187120400612475,-2.6600167186840196,-1.942627933383406,-0.23412663221947488,8.138418012348671
