method,500_L1,500_L2,500_Linf,500_time,1000_L1,1000_L2,1000_Linf,1000_time,5000_L1,5000_L2,5000_Linf,5000_time
KDE_scott,-1.0405037994785657,0.2723040768251073,2.638527240366981,0.3764051543126743,-1.09060807306243,0.24502859849925543,2.612268594031505,0.9816789959649174,-1.2348123311301498,0.16044317097152772,2.529054458202591,2.535250359983922
KDE_cv,-1.219583575578282,0.04616937598383104,2.407347727529,0.4426473349459502,-1.5131747680194478,-0.27329878539352614,2.1003692927139115,1.1363785264616113,-2.242788358832688,-1.1979093247291521,1.1661695881551695,3.8790859874447143
DPM,-1.019203792118074,0.17119826337543043,2.4934282964420813,-0.09710803158795332,-1.3043017180045902,-0.08155315385230578,2.253012118205975,0.1375014647350878,-1.851786861133512,-0.7134012571098404,1.6079075545840085,2.3698046822939367
DRBART,-0.8252926038685376,0.31384942362898266,2.6457108899502697,7.169392487524516,-1.2878002391583818,-0.09118567127516677,2.232843445694597,7.570597206174967,-2.292655006039746,-1.3710875819033743,0.7505810179465529,8.514293709258483
